timestamp;temperatura;min_temp;max_temp;valvola
2025-06-28 11:53:24.880743;18.6;16.5;19.5;Aperta
2025-06-28 11:53:31.565222;18.5;16.5;19.5;Aperta
2025-06-28 11:53:39.159203;18.4;16.5;19.5;Aperta
2025-06-28 11:53:45.469613;18.5;16.5;19.5;Aperta
2025-06-28 11:53:51.779060;18.5;16.5;19.5;Aperta
2025-06-28 11:53:58.086778;18.4;16.5;19.5;Aperta
2025-06-28 11:54:04.473261;18.4;16.5;19.5;Aperta
2025-06-28 11:54:10.725359;18.3;16.5;19.5;Aperta
2025-06-28 11:54:17.130529;18.4;16.5;19.5;Aperta
2025-06-28 11:54:23.499564;18.3;16.5;19.5;Aperta
2025-06-28 11:54:29.904413;18.4;16.5;19.5;Aperta
2025-06-28 11:54:36.362098;18.3;16.5;19.5;Aperta
2025-06-28 11:54:42.657405;18.1;16.5;19.5;Aperta
2025-06-28 11:54:48.829844;18.0;16.5;19.5;Aperta
2025-06-28 11:54:55.093007;17.9;16.5;19.5;Aperta
2025-06-28 11:55:01.461419;17.9;16.5;19.5;Aperta
2025-06-28 11:55:07.812714;17.8;16.5;19.5;Aperta
2025-06-28 11:55:14.103623;17.7;16.5;19.5;Aperta
2025-06-28 11:55:20.226144;17.6;16.5;19.5;Aperta
2025-06-28 11:55:26.371712;17.4;16.5;19.5;Aperta
2025-06-28 11:55:32.496890;17.5;16.5;19.5;Aperta
2025-06-28 11:55:38.758820;17.4;16.5;19.5;Aperta
2025-06-28 11:55:45.057589;17.3;16.5;19.5;Aperta
2025-06-28 11:55:51.373957;17.3;16.5;19.5;Aperta
2025-06-28 11:56:10.319806;17.4;16.5;19.5;Aperta
2025-06-28 11:57:45.607114;17.5;16.5;19.5;Aperta
2025-06-28 11:57:51.941971;17.5;16.5;19.5;Aperta
2025-06-28 11:57:58.235887;17.5;16.5;19.5;Aperta
2025-06-28 11:58:04.531068;17.6;16.5;19.5;Aperta
2025-06-28 11:58:10.804104;17.4;16.5;19.5;Aperta
2025-06-28 11:58:17.144706;17.6;16.5;19.5;Aperta
2025-06-28 11:58:23.332408;17.5;16.5;19.5;Aperta
2025-06-28 11:58:29.648333;17.5;16.5;19.5;Aperta
2025-06-28 11:58:35.926881;17.5;16.5;19.5;Aperta
2025-06-28 11:58:42.151923;17.3;16.5;19.5;Aperta
2025-06-28 11:58:48.350675;17.4;16.5;19.5;Aperta
2025-06-28 11:58:54.489347;17.3;16.5;19.5;Aperta
2025-06-28 11:59:00.617648;17.3;16.5;19.5;Aperta
2025-06-28 11:59:06.869320;17.1;16.5;19.5;Aperta
2025-06-28 11:59:13.184491;17.1;16.5;19.5;Aperta
2025-06-28 11:59:19.410718;17.0;16.5;19.5;Aperta
2025-06-28 11:59:25.661778;16.8;16.5;19.5;Aperta
2025-06-28 11:59:31.815350;16.6;16.5;19.5;Aperta
2025-06-28 11:59:37.970505;16.7;16.5;19.5;Aperta
2025-06-28 11:59:44.144668;16.7;16.5;19.5;Aperta
2025-06-28 11:59:50.421255;16.6;16.5;19.5;Aperta
2025-06-28 12:00:09.740300;16.7;16.5;19.5;Aperta
2025-06-28 12:01:56.796612;16.6;16.5;19.5;Aperta
2025-06-28 12:04:05.389719;16.7;16.5;19.5;Aperta
2025-06-28 12:04:11.682890;16.8;16.5;19.5;Aperta
2025-06-28 12:04:17.948156;16.9;16.5;19.5;Aperta
2025-06-28 12:04:50.596553;16.7;16.5;19.5;Aperta
2025-06-28 12:04:56.878571;16.8;16.5;19.5;Aperta
2025-06-28 12:05:03.174857;16.8;16.5;19.5;Aperta
2025-06-28 12:05:33.809077;16.8;16.5;19.5;Aperta
2025-06-28 12:05:59.848161;16.9;16.5;19.5;Aperta
2025-06-28 12:06:06.179594;16.9;16.5;19.5;Aperta
2025-06-28 12:08:19.715114;16.8;16.5;19.5;Aperta
2025-06-28 12:08:43.177806;16.9;16.5;19.5;Aperta
2025-06-28 12:08:49.498347;16.8;16.5;19.5;Aperta
2025-06-28 12:09:03.015374;16.9;16.5;19.5;Aperta
2025-06-28 12:09:09.293193;16.8;16.5;19.5;Aperta
2025-06-28 12:09:15.543337;17.0;16.5;19.5;Aperta
2025-06-28 12:09:21.759343;17.2;16.5;19.5;Aperta
2025-06-28 12:09:28.185480;17.4;16.5;19.5;Aperta
2025-06-28 12:09:34.508727;17.4;16.5;19.5;Aperta
2025-06-28 12:09:40.750005;17.6;16.5;19.5;Aperta
2025-06-28 12:09:47.124444;17.5;16.5;19.5;Aperta
2025-06-28 12:09:53.360862;17.6;16.5;19.5;Aperta
2025-06-28 12:09:59.509447;17.6;16.5;19.5;Aperta
2025-06-28 12:10:05.729284;17.8;16.5;19.5;Aperta
2025-06-28 12:10:11.895515;17.9;16.5;19.5;Aperta
2025-06-28 12:10:18.151976;17.8;16.5;19.5;Aperta
2025-06-28 12:10:48.187713;18.0;16.5;19.5;Aperta
2025-06-28 12:10:54.485183;18.1;16.5;19.5;Aperta
2025-06-28 12:11:00.780052;18.2;16.5;19.5;Aperta
2025-06-28 12:11:07.255857;18.1;16.5;19.5;Aperta
2025-06-28 12:11:13.554878;18.1;16.5;19.5;Aperta
2025-06-28 12:11:19.738127;18.0;16.5;19.5;Aperta
2025-06-28 12:11:26.021642;18.0;16.5;19.5;Aperta
2025-06-28 12:11:32.353663;18.1;16.5;19.5;Aperta
2025-06-28 12:11:38.629849;18.1;16.5;19.5;Aperta
2025-06-28 12:11:45.054576;18.3;16.5;19.5;Aperta
2025-06-28 12:11:51.277645;18.3;16.5;19.5;Aperta
2025-06-28 12:11:57.848361;18.2;16.5;19.5;Aperta
2025-06-28 12:12:04.467767;18.4;16.5;19.5;Aperta
2025-06-28 12:12:11.485759;18.5;16.5;19.5;Aperta
2025-06-28 12:12:17.767551;18.7;16.5;19.5;Aperta
2025-06-28 12:12:24.029987;18.7;16.5;19.5;Aperta
2025-06-28 12:12:30.285311;18.8;16.5;19.5;Aperta
2025-06-28 12:12:36.774252;18.9;16.5;19.5;Aperta
2025-06-28 12:12:43.008123;19.0;16.5;19.5;Aperta
2025-06-28 12:12:49.283486;19.0;16.5;19.5;Aperta
2025-06-28 12:12:55.543123;18.9;16.5;19.5;Aperta
2025-06-28 12:13:01.920600;19.0;16.5;19.5;Aperta
2025-06-28 12:13:08.223230;19.0;16.5;19.5;Aperta
2025-06-28 12:13:14.469826;19.1;16.5;19.5;Aperta
2025-06-28 12:13:20.689339;19.2;16.5;19.5;Aperta
2025-06-28 12:13:26.942118;19.3;16.5;19.5;Aperta
2025-06-28 12:13:33.244848;19.4;16.5;19.5;Aperta
2025-06-28 12:13:39.677326;19.3;16.5;19.5;Aperta
2025-06-28 12:13:45.863178;19.2;16.5;19.5;Aperta
2025-06-28 12:13:52.012427;19.4;16.5;19.5;Aperta
2025-07-01 18:14:06.900377;19.5;16.5;19.5;Aperta
2025-07-01 18:14:13.604944;19.4;16.5;19.5;Aperta
2025-07-01 18:14:20.306790;19.3;16.5;19.5;Aperta
2025-07-01 19:53:51.604181;19.4;16.5;19.5;Aperta
2025-07-01 19:53:58.718321;19.6;16.5;19.5;Aperta
2025-07-01 20:00:59.193538;19.5;16.5;19.5;Aperta
2025-07-01 20:01:07.184499;19.4;16.5;19.5;Aperta
2025-07-01 20:01:50.478275;19.2;16.5;19.5;Aperta
2025-07-01 20:01:56.993726;19.1;16.5;19.5;Aperta
2025-07-01 20:02:03.154396;19.1;16.5;19.5;Aperta
2025-07-01 20:03:32.505028;19.1;16.5;19.5;Aperta
2025-07-01 20:03:40.270852;19.0;16.5;19.5;Aperta
2025-07-01 20:03:46.559699;19.2;16.5;19.5;Aperta
2025-07-01 20:03:54.627630;19.4;16.5;19.5;Aperta
2025-07-01 20:04:00.911416;19.3;16.5;19.5;Aperta
2025-07-01 20:05:36.578346;19.5;16.5;19.5;Aperta
2025-07-01 20:05:42.797837;19.5;16.5;19.5;Aperta
2025-07-01 20:05:48.956384;19.4;16.5;19.5;Aperta
2025-07-01 20:05:56.387316;19.2;16.5;19.5;Aperta
2025-07-01 20:06:02.615326;19.3;16.5;19.5;Aperta
2025-07-01 20:06:20.140483;19.2;16.5;19.5;Aperta
2025-07-01 20:06:27.370577;19.0;16.5;19.5;Aperta
2025-07-01 20:06:34.343308;18.8;16.5;19.5;Aperta
2025-07-01 20:07:54.381826;18.7;16.5;19.5;Aperta
2025-07-01 20:08:01.133602;18.7;16.5;19.5;Aperta
2025-07-01 20:08:07.370495;18.8;16.5;19.5;Aperta
2025-07-01 20:08:25.582557;18.6;16.5;19.5;Aperta
2025-07-01 20:08:32.459680;18.8;16.5;19.5;Aperta
2025-07-01 20:08:39.174325;19.0;16.5;19.5;Aperta
2025-07-01 20:09:42.657938;19.0;16.5;19.5;Aperta
2025-07-01 20:09:49.716764;19.2;16.5;19.5;Aperta
2025-07-01 20:09:56.303266;19.1;16.5;19.5;Aperta
2025-07-01 20:15:06.227320;19.0;16.5;19.5;Aperta
2025-07-01 20:15:12.506187;19.0;16.5;19.5;Aperta
2025-07-01 20:15:18.725815;19.1;16.5;19.5;Aperta
2025-07-01 20:15:24.999436;19.2;16.5;19.5;Aperta
2025-07-01 20:15:31.445318;19.1;16.5;19.5;Aperta
2025-07-01 20:15:37.665537;19.3;16.5;19.5;Aperta
2025-07-01 20:15:43.884130;19.4;16.5;19.5;Aperta
2025-07-01 20:15:50.146754;19.5;16.5;19.5;Aperta
2025-07-01 20:15:56.462071;19.6;16.5;19.5;Aperta
2025-07-01 20:16:02.744011;19.7;16.5;19.5;Aperta
2025-07-01 20:16:08.960963;19.8;16.5;19.5;Aperta
2025-07-01 20:16:15.260808;20.0;16.5;19.5;Aperta
2025-07-01 20:16:21.597738;20.0;16.5;19.5;Aperta
2025-07-01 20:16:27.868867;20.2;16.5;19.5;Aperta
2025-07-01 20:16:34.141151;20.1;16.5;19.5;Aperta
2025-07-01 20:16:40.404666;20.1;16.5;19.5;Aperta
2025-07-01 20:16:46.691165;20.2;16.5;19.5;Aperta
2025-07-01 20:16:52.968385;20.3;16.5;19.5;Aperta
2025-07-01 20:16:59.235714;20.3;16.5;19.5;Aperta
2025-07-01 20:17:05.418524;20.4;16.5;19.5;Aperta
2025-07-01 20:17:11.690581;20.4;16.5;19.5;Aperta
2025-07-01 20:17:17.902611;20.4;16.5;19.5;Aperta
2025-07-01 20:17:24.199994;20.2;16.5;19.5;Aperta
2025-07-01 20:17:30.578539;20.1;16.5;19.5;Aperta
2025-07-01 20:17:36.845883;20.1;16.5;19.5;Aperta
2025-07-01 20:17:43.064226;20.2;16.5;19.5;Aperta
2025-07-01 20:17:49.306924;20.3;16.5;19.5;Aperta
2025-07-01 20:17:55.602847;20.3;16.5;19.5;Aperta
2025-07-01 20:18:01.861367;20.5;16.5;19.5;Aperta
2025-07-01 20:18:08.163227;20.5;16.5;19.5;Aperta
2025-07-01 20:18:14.449873;20.4;16.5;19.5;Aperta
2025-07-01 20:18:20.688931;20.3;16.5;19.5;Aperta
2025-07-01 20:18:26.973190;20.4;16.5;19.5;Aperta
2025-07-01 20:18:33.238616;20.3;16.5;19.5;Aperta
2025-07-01 20:18:39.413193;20.3;16.5;19.5;Aperta
2025-07-01 20:18:45.702239;20.1;16.5;19.5;Aperta
2025-07-01 20:18:51.926694;19.9;16.5;19.5;Aperta
2025-07-01 20:18:58.184980;19.9;16.5;19.5;Aperta
2025-07-01 20:19:04.651753;20.1;16.5;19.5;Aperta
2025-07-01 20:19:10.927088;20.2;16.5;19.5;Aperta
2025-07-01 20:19:17.241806;20.1;16.5;19.5;Aperta
2025-07-01 20:19:23.574288;19.9;16.5;19.5;Aperta
2025-07-01 20:19:29.938852;19.9;16.5;19.5;Aperta
2025-07-01 20:19:36.199529;20.1;16.5;19.5;Aperta
2025-07-01 20:19:42.494836;19.9;16.5;19.5;Aperta
2025-07-01 20:19:48.822061;19.9;16.5;19.5;Aperta
2025-07-01 20:19:55.056924;19.8;16.5;19.5;Aperta
2025-07-01 20:20:01.294912;19.6;16.5;19.5;Aperta
2025-07-01 20:20:07.521911;19.6;16.5;19.5;Aperta
2025-07-01 20:20:13.709574;19.6;16.5;19.5;Aperta
2025-07-01 20:20:19.993896;19.6;16.5;19.5;Aperta
2025-07-01 20:20:26.234772;19.6;16.5;19.5;Aperta
2025-07-01 20:20:32.518645;19.6;16.5;19.5;Aperta
2025-07-01 20:20:38.756424;19.6;16.5;19.5;Aperta
2025-07-01 20:20:45.025426;19.5;16.5;19.5;Aperta
2025-07-01 20:20:51.329269;19.6;16.5;19.5;Aperta
2025-07-01 20:20:57.557064;19.6;16.5;19.5;Aperta
2025-07-01 20:21:03.770598;19.5;16.5;19.5;Aperta
2025-07-01 20:21:11.328228;19.5;16.5;19.5;Aperta
2025-07-01 20:21:17.734170;19.4;16.5;19.5;Aperta
2025-07-01 20:21:23.991418;19.3;16.5;19.5;Aperta
2025-07-01 20:21:30.227472;19.1;16.5;19.5;Aperta
2025-07-01 20:21:36.479035;19.3;16.5;19.5;Aperta
2025-07-01 20:21:42.709767;19.1;16.5;19.5;Aperta
2025-07-01 20:21:49.201572;19.0;16.5;19.5;Aperta
2025-07-01 20:21:55.446309;19.0;16.5;19.5;Aperta
2025-07-01 20:22:39.099815;18.9;16.5;19.5;Aperta
2025-07-01 20:22:45.368565;18.7;16.5;19.5;Aperta
2025-07-01 20:22:51.671291;18.9;16.5;19.5;Aperta
